Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-04 08:50:00+00:00,151.75,151.75,151.65,151.69,1877,67,151.704997
2021-11-04 08:55:00+00:00,151.62,151.66,151.6,151.65,1354,35,151.636728
2021-11-04 09:00:00+00:00,151.73,151.73,151.73,151.73,476,14,151.726471
2021-11-04 09:05:00+00:00,151.7,151.75,151.66,151.75,1672,54,151.698577
2021-11-04 09:10:00+00:00,151.73,151.73,151.65,151.65,1672,43,151.705772
2021-11-04 09:15:00+00:00,151.64,151.71,151.62,151.62,1821,34,151.65849
2021-11-04 09:20:00+00:00,151.63,151.66,151.62,151.62,3700,77,151.633938
2021-11-04 09:25:00+00:00,151.65,151.69,151.65,151.68,1682,49,151.675666
2021-11-04 09:30:00+00:00,151.68,151.71,151.65,151.65,3037,68,151.699549
2021-11-04 09:35:00+00:00,151.64,151.64,151.64,151.64,824,32,151.656141
2021-11-04 09:40:00+00:00,151.68,151.68,151.68,151.68,326,11,151.679908
2021-11-04 09:45:00+00:00,151.69,151.69,151.69,151.69,262,12,151.682748
2021-11-04 09:50:00+00:00,151.68,151.69,151.67,151.69,921,31,151.681596
2021-11-04 09:55:00+00:00,151.7,151.7,151.7,151.7,809,16,151.699901
2021-11-04 10:00:00+00:00,151.69,151.7,151.69,151.7,1013,25,151.697631
2021-11-04 10:05:00+00:00,151.75,151.75,151.71,151.71,2148,54,151.718808
2021-11-04 10:10:00+00:00,151.71,151.71,151.6,151.62,3956,109,151.656246
2021-11-04 10:15:00+00:00,151.62,151.64,151.58,151.63,4775,64,151.614069
2021-11-04 10:20:00+00:00,151.64,151.64,151.56,151.56,1865,55,151.583802
2021-11-04 10:25:00+00:00,151.56,151.56,151.5,151.5,2745,78,151.525858
2021-11-04 10:30:00+00:00,151.6,151.6,151.6,151.6,134,8,151.600896
2021-11-04 10:35:00+00:00,151.6,151.61,151.6,151.61,619,17,151.603296
2021-11-04 10:40:00+00:00,151.63,151.67,151.63,151.64,2441,44,151.644445
2021-11-04 10:45:00+00:00,151.67,151.67,151.61,151.61,1101,41,151.645995
2021-11-04 10:50:00+00:00,151.65,151.65,151.64,151.64,923,26,151.639123
2021-11-04 11:00:00+00:00,151.67,151.79,151.61,151.71,21341,279,151.729079
2021-11-04 11:05:00+00:00,151.71,151.77,151.68,151.77,7485,61,151.722397
2021-11-04 11:10:00+00:00,151.74,151.82,151.74,151.78,5240,92,151.785121
